Question,Answer,Link,Hint1,Hint2,Hint3,Hint4,Hint5,Rank1,Rank2,Rank3,Rank4,Rank5
"Which movie features the main character Dom Cobb, a skilled extractor of secrets from people's dreams.",Inception,https://en.wikipedia.org/wiki/Inception,"The movie was written and directed by Christopher Nolan, who also produced it with Emma Thomas, his wife.",The film stars Leonardo DiCaprio as a professional thief who steals information by infiltrating the subconscious of his targets. He is offered a chance to have his criminal history erased as payment for the implantation of another person's idea into a target's subconscious.,"The movie casts Ken Watanabe as Saito, a Japanese businessman who employs Cobb for the team's mission.","The movie grossed over $837 million worldwide, becoming the fourth-highest-grossing film of 2010. Considered one of the best films of the 2010s, it won four Oscars (Best Cinematography, Best Sound Editing, Best Sound Mixing, and Best Visual Effects) and was nominated for four more (Best Picture, Best Original Screenplay, Best Art Direction, and Best Original Score) at the 83rd Academy Awards.","The movie is about Cobb and Arthur, who are ""extractors"" performing corporate espionage using experimental dream-sharing technology to infiltrate their targets' subconscious and extract information.",3,1,4,5,2
Identify the character who operates from a cave located beneath Wayne Manor.,Batman,https://en.wikipedia.org/wiki/Batman,"The character was created by artist Bob Kane and writer Bill Finger and debuted in the 27th issue of Detective Comics on March 30, 1939.","This character is the alter ego of a wealthy American playboy, philanthropist, and industrialist who resides in Gotham City.",One of this character's notable aliases is Dark Knight.,"This character is played by Christian Bale in The Dark Knight Trilogy, created by director Christopher Nolan.","This character's ""most implacable foe"" is the Joker, a homicidal maniac with a clown-like appearance.",5,1,4,3,2
What car brand has a logo featuring three overlapping ellipses?,Toyota,https://en.wikipedia.org/wiki/Toyota,"In the 1960s, this car brand took advantage of the rapidly growing Japanese economy to sell cars to a growing middle class, leading to the development of the Corolla, which became the world's all-time best-selling automobile.","This car brand was praised for being a leader in the development and sales of more fuel-efficient hybrid electric vehicles, starting with the introduction of the Prius in 1997.","The car brand's first passenger car, the Model AA, was completed in April 1936.","At the onset of World War II, this car brand almost exclusively produced standard-sized trucks for the Japanese Army, which paid one-fifth of the price in advance and the remainder in cash upon delivery.","Efforts to open this car brand's assembly plant in the United States started in 1980, with the company proposing a joint venture with the Ford Motor Company. Those talks broke down in July 1981. Eventually, in 1984, the company struck a deal with General Motors (GM) to establish a joint-venture vehicle manufacturing plant called NUMMI (New United Motor Manufacturing, Inc.) in Fremont, California.",1,2,3,4,5
Identify the character whose backstory involves being the captain of the Black Pearl before losing it to Hector Barbossa.,Jack Sparrow,https://en.wikipedia.org/wiki/Jack_Sparrow,This character is a fictional character and the main protagonist of the Pirates of the Caribbean film series and franchise.,"This character is based on a combination of The Rolling Stones' guitarist Keith Richards and Looney Tunes cartoons, specifically the characters Bugs Bunny and Pepé Le Pew.","In the films, this character is one of the nine pirate lords in the Brethren Court, the Pirate Lords of the Seven Seas.","The Pirates of the Caribbean series, featuring this character, was inspired by the Disney theme park ride of the same name.","According to screenwriters Ted Elliott and Terry Rossio, this character is a trickster who uses wit and deceit to attain his goals, preferring to end disputes verbally instead of by force. He walks with a slightly drunken swagger and has slurred speech and flailing hand gestures.",1,4,3,2,5
"Name the band that embarked on the 'Use Your Illusion Tour' in the early 1990s, setting attendance records.",Guns N' Roses,https://en.wikipedia.org/wiki/Guns_N%27_Roses,This band debuted in the 80's.,Known for their hard rock and heavy metal sound.,The lead singer of this band shares his name with the name of the band.,Famous guitarist from this band is known for wearing a top hat.,They have the best-selling debut album of all time.,2,3,4,1,5
Name the groundbreaking science fiction film released in 1999 that explores virtual reality and artificial intelligence.,The Matrix,https://en.wikipedia.org/wiki/The_Matrix,It's a 1999 science-fiction action film written and directed by the Wachowskis.,This science fiction film depicts a dystopian future in which humanity is unknowingly trapped inside a simulated reality that intelligent machines have created to distract humans while using their bodies as an energy source.,"In the film, a copy of Jean Baudrillard's philosophical work Simulacra and Simulation, which was published in French in 1981, is visible on-screen as ""the book used to conceal disks"".","The film's success led to two feature film sequels being released in 2003, which were also written and directed by the Wachowskis.","The film's protagonist is Thomas Anderson, known by his hacking alias ""Neo"".",3,2,5,4,1
"Name the politician who survived an assassination attempt in 1981, just a few months into his presidency.",Ronald Reagan,https://en.wikipedia.org/wiki/Ronald_Reagan,This person was an American politician and actor who served as the 40th President of the United States from 1981 to 1989.,"This person was a member of the Republican Party, and his presidency constituted the era named after him. He is considered one of the most prominent conservative figures in American history.","This person graduated from Eureka College in 1932 and began to work as a sports broadcaster in Iowa. In 1937, he moved to California and became a well-known film actor there.",This person's policies contributed to the end of the Cold War and the end of Soviet communism.,"In response to concerns about the increasing crack epidemic, this person intensified the war on drugs in 1982.",1,2,5,3,4
What is the first book in the bible?,Book of Genesis,https://en.wikipedia.org/wiki/Book_of_Genesis,"This book, named after its first word ""Bereshit,"" holds an account of the creation of the world, early human history, and the origins of the Jewish people.","The authorship of this biblical book, which narrates the creation, is traditionally credited to Moses, but modern scholars place it in the 6th and 5th centuries BC.","Divided into two parts, this biblical text includes the primeval history, covering chapters 1–11, and the ancestral history, spanning chapters 12–50.","In this book, God establishes covenants with humanity, starting from a covenant with Noah, successively narrowing to a special relationship with Abraham and his descendants.","While considered mythological by many scholars, this book plays a significant role in Judaism, emphasizing the theological importance of covenants between God and His chosen people.",1,2,3,4,5
What planet is the largest in our solar system and is known as the 'gas giant'?,Jupiter,https://en.wikipedia.org/wiki/Jupiter,It is surrounded by a faint planetary ring,Named after the chief god of the divine of roman religion,Made up of 76%hydrogen and 24%helium,It is the fourth planet fro the sun,Has a great Red spot,3,2,4,1,5
"In Super Mario games, who is Princess Peach's loyal attendant?",Toad,https://en.wikipedia.org/wiki/Toad_(Nintendo),He returns as one of the playable characters in Super Mario 3D World.,Toadette is known as his partner.,He was turned into different objects like bricks and pipes by the evil King Bowser.,His English name is toadstool,The fastest playable character in Super Mario 3D World.,3,2,4,1,5
Name the Christopher Nolan movie that explores the fragility of reality and the manipulation of dreams within dreams.,Inception,https://en.wikipedia.org/wiki/Inception,The film stars Leonardo DiCaprio as a professional thief who steals information by infiltrating the subconscious of his targets.,"This movie's ensemble cast includes Ken Watanabe, Joseph Gordon-Levitt, Marion Cotillard, Elliot Page, Tom Hardy, Cillian Murphy, Tom Berenger, Dileep Rao and Michael Caine.","In this movie, Ken Watanabe plays Saito, a Japanese businessman who employs Cobb for the team's mission.","In this film, Joseph Gordon-Levitt plays Arthur, Cobb's partner who manages and researches the missions.","The majority of this film's plot takes place in interconnected dream worlds. This structure creates a framework where actions in the real or dream worlds ripple across others. The dream is always in a state of production, and shifts across the levels as the characters navigate it.",1,3,5,4,2
"Which prominent figure is known for his philosophy of Satyagraha, emphasizing the power of truth and nonviolent resistance?",Mahatma Gandhi,https://en.wikipedia.org/wiki/Mahatma_Gandhi,"He led nationwide campaigns, some of what included, easing poverty, expanding women's rights, and achieving self-rule.",He led the campaign for India's indedpendence.,He was a civil rights activist.,He was the first to apply the principle of nonviolence in the political field on a large scale.,"In 2007, October 2, was declared as ""the International Day of Nonviolence"".",2,3,1,4,5
What element is considered the lightest?,Hydrogen,https://en.wikipedia.org/wiki/Hydrogen,It is the chemical element with the symbol H and atomic number 1,"It is the lightest element, and at standard conditions it is a gas of diatomic molecules with the formula H2",It is a colorless and odorless element.,It is highly combustible.,Stars such as sun are mainly composed of it.,1,2,3,4,5
Name the British Prime Minister who faced challenges and controversies related to the COVID-19 pandemic.,Boris Johnson,https://en.wikipedia.org/wiki/Boris_Johnson,He is a British politician and writer who served as Prime Minister of the United Kingdom and Leader of the Conservative Party from 2019 to 2022.,"This person defeated Jeremy Hunt in the 2019 Conservative Party leadership election to succeed May, who resigned after Parliament's repeated rejections of her Brexit withdrawal agreement.","As prime minister, his supporters praised him for ""getting Brexit done"", overseeing the UK's COVID-19 vaccination program, which was initially among the fastest in the world, and providing global leadership following the Russian invasion of Ukraine.","In July 2007, this politician announced his candidacy to be the Conservative candidate for Mayor of London in the 2008 mayoral election.","In his first speech as PM, this politician said that the United Kingdom would leave the European Union on  October 31, 2019, with or without a deal, and promised to remove the Irish backstop from the Brexit withdrawal agreement.",1,3,4,5,2
What Ukrainian former professional boxer born in 1976 held multiple world heavyweight titles during his career?,Wladimir Klitschko,https://en.wikipedia.org/wiki/Wladimir_Klitschko,"As an amateur, this boxer represented Ukraine at the 1996 Olympics, winning a gold medal in the super-heavyweight division.","After turning professional, this professional boxer defeated Chris Byrd in 2000 to win the WBO heavyweight title.","This professional boxer holds records for the longest cumulative heavyweight title reign of all time, with 4,382 days as world heavyweight champion, and the most fighters beaten for the world heavyweight championship, at 23.",This professional boxer holds records for the most wins and title defenses of the unified championship in professional boxing history.,"This professional boxer first achieved world attention at the 1996 Summer Olympics in Atlanta, Georgia. He defeated Paea Wolfgramm to win the Super-Heavyweight gold medal.",1,2,4,3,5
"In 2004, what city ranked third poorest in America?",Miami,"https://en.wikipedia.org/wiki/Miami""","This city, known for its impressive skyline with over 300 high-rises, ranked third-richest in the U.S. in a 2018 UBS study.","In terms of economic strength, this city boasts the largest urban economy in Florida, with a gross domestic product of $344.9 billion as of 2017.","Downtown in this city, you'll find one of the largest concentrations of international banks in the U.S., emphasizing its role as a major financial center.","While having a population of 442,241 as of the 2020 census, this city is the second-most populous city in the state of Florida after Jacksonville.","Home to the busiest cruise port in the world and ranking second in tourism for international visitors after New York City, this city is a major hub for global travel.",1,2,3,4,5
"Which nation is known for its lively street parties and festivals, such as the São João celebrations?",Brazil,https://en.wikipedia.org/wiki/Brazil,The largest country in South America and in Latin America,World's fifth-largest country by area and the seventh most populous.,It is the only country in the Americas to have Portuguese as an official language.,The federation is composed of the union of the 26 states and the Federal District.,"Rock art at Serra da Capivara National Park, one of the largest and oldest concentrations of prehistoric sites in the Americas.",1,2,3,4,5
"In Super Mario 3D World, which character has a special ability that allows them to run faster?",Toad,https://en.wikipedia.org/wiki/Toad_(Nintendo),This character has a mushroom like head,This character is most loyal to princess peach,This character is a humanoid,Is the protagonist in Super Mario Bros 2,Is a citizen of Mushroom kingdom,5,1,4,2,3
What artist is credited with popularizing the moonwalk dance move and the signature single white glove?,Michael Jackson,https://en.wikipedia.org/wiki/Michael_Jackson,"This artist's skin had been medium-brown during his youth, but from the mid-1980s on, it gradually grew paler. The change drew widespread media coverage, including speculation that he had been bleaching his skin.","In 1993, this artist was accused of sexually abusing the child of a family friend.",This artist had 13 Billboard Hot 100 number-one singles (fourth highest of any artist in the Hot 100 era) and was the first artist to have a top-ten single on the Billboard Hot 100 in five different decades.,"In 1964, this artist and Marlon joined the Jackson Brothers.","This artist's sixth album, Thriller, was released in late 1982.",2,5,4,3,1
"What scientist is famous for his work on the principle of the lever, which stated, 'Give me a place to stand, and I shall move the Earth'?",Archimedes,https://en.wikipedia.org/wiki/Archimedes,"He was an Ancient Greek mathematician, physicist, engineer, astronomer, and inventor from an ancient city.",He is considered the greatest mathematician of ancient history and of the greatest of all time.,He is known for his advanced modern calculus and analysis by using concepts and methods of exhaustion to prove various geometric theorems.,"He is known for crying out the words ""Eureka! I have found it!"".",He is known for working on the law and the principle of the lever.,1,2,3,4,5
"Who is the artist, born in 1452, behind the iconic painting housed in the Louvre Museum?",Leonardo da Vinci,https://en.wikipedia.org/wiki/Leonardo_da_Vinci,"Born in 1452, this Italian polymath of the High Renaissance is widely regarded as a genius, with achievements ranging from painting to engineering and science.","His best-known work, the Mona Lisa, is housed in the Louvre Museum and is often considered the world's most famous painting.","Educated in Florence by the Italian painter Andrea del Verrocchio, he later spent time in Milan working for Ludovico Sforza and attracted a large following of imitators and students","Revered for his technological ingenuity, he conceptualized flying machines, armored vehicles, concentrated solar power, and made substantial discoveries in various fields like anatomy and optics.","Despite having fewer than 25 attributed major works, he is identified as one of the greatest painters in the history of art and is credited as the founder of the High Renaissance.",1,2,3,4,5
Which city is so far the southernmost city to host the Olympic Games?,Melbourne,https://en.wikipedia.org/wiki/Melbourne,It is the capital of the Australian state of Victoria.,"It is the second-most populous city in Australia, after Sydney",It extends along the Yarra River towards the Yarra Valley and the Dandenong Ranges to the east.,It is in the southeastern part of mainland Australia,It has a population over 5 million,1,2,3,4,5
Name the character whose species hails from the planet Kashyyyk and appears in six main Star Wars movies.,Chewbacca,https://en.wikipedia.org/wiki/Chewbacca,"In the original trilogy, it is portrayed by Peter Mayhew","He is a Wookiee, a tall, hirsute, bipedal, intelligent species originating from the fictional planet.",It is a final sequel trilogy film.,"The character has also appeared in numerous works within the Expanded Universe, consisting of television series, books, comics, and video games.",Itis covered with long hair and wears only a bandolier.,1,2,3,4,5
"Identify the American chess champion who, at the height of the Cold War, defeated the Soviet player Spassky.",Bobby Fischer,https://en.wikipedia.org/wiki/Bobby_Fischer,This chess player was an American chess grandmaster and the eleventh World Chess Champion.,"In 1975, this chess player refused to defend his title when an agreement could not be reached with FIDE, chess's international governing body, over the match conditions. Consequently, the Soviet challenger, Anatoly Karpov was named World Champion by default.","This chess player made numerous lasting contributions to chess. His book, My 60 Memorable Games, published in 1969, is regarded as essential reading in chess literature.","After the 1972 World Chess Championship, this person did not play a competitive game in public for nearly 20 years.","From 2000 to 2002, this chess player lived in Baguio, Philippines, residing in the same compound as the Filipino grandmaster Eugenio Torre, a close friend who had acted as his second during his 1992 match with Spassky.",1,2,5,4,3
"Name the music video that, upon its release, quickly went viral and became the first YouTube video to reach one billion views.",Gangnam Style,https://en.wikipedia.org/wiki/Gangnam_Style,In 3 months it reached number one in over 30 countries,The song was featured in a commercial for Wonderful Pistachios that debuted during the Super Bowl in 2013.,The worldwide popularity of the music video has been attributed to the signature dance move known as “the horse-riding dance.,It ranks as one of the most affluent areas of South Korea and can be likened to Beverly Hills.,It was a major cultural phenomenon when it was first released in 2012.,1,2,3,4,5
"Name the artist who achieved numerous chart-topping hits, including 'Hound Dog,' 'Blue Suede Shoes,' and 'Can't Help Falling in Love.'",Elvis Presley,https://en.wikipedia.org/wiki/Elvis_Presley,"He was commonly referred to by his first name, was an American singer and actor known as the ""King of Rock and Roll"".","In November 1956, this singer made his film debut in 'Love Me Tender'.",This singer sold roughly 500 million records worldwide and is one of the best-selling music artists of all time.,This singer had no formal music training and could not read music so he studied and played by ear.,Some of this singers well known songs are 'Blue Suede Shoes'; 'Jailhouse Rock' and 'Blue Hawaii'.,1,5,3,4,2
Which city had the united nations first zoo?,Philadelphia,https://en.wikipedia.org/wiki/Philadelphia,The Mural Capital of the World,It has the Oldest Inhabited Road in America,It’s Also a City of Champions,"The city has the second-largest Irish and Italian populations in the U.S., after only New York City.",The city is even widely cited as having more public art than any other in the country.,1,2,3,4,5
Which rock and roll band performed at the historic free concert in Hyde Park in 1969.,The Rolling Stones,https://en.wikipedia.org/wiki/The_Rolling_Stones,"This band formed in London in 1962, spanning across 7 decades with an estimated record sales of 200 million make them one of the best-selling music artists of all time.","During their early years, Jones was the primary leader of the band and then Oldham became the group's manager in 1963.","Some of this bands well known hit singles are ""Jumpin' Jack Flash"", ""Honky Tonk Women"" and ""Gimme Shelter"".",This band from London had eight consecutive number-one studio albums in the US starting in 1972.,This bands first concert was on 12 July 1962 at the Marquee Club in London and since then have performed more than two thousand concerts around the world.,1,4,2,5,3
"Name the Argentine player who spent part of his club career with Napoli in Italy, guiding the team to unprecedented success, including two Serie A titles and a UEFA Cup.",Diego Maradona,https://en.wikipedia.org/wiki/Diego_Maradona,"He was an Argentine professional football player and manager. Widely regarded as one of the greatest players in the history of the sport, he was one of the two joint winners of the FIFA Player of the 20th Century award.","A precocious talent, this player was given the nickname El Pibe de Oro (""The Golden Boy""), a name that stuck with him throughout his career.","He was the first football player to set the world record transfer fee twice: in 1982, when he transferred to Barcelona for £5 million, and in 1984, when he moved to Napoli for a fee of £6.9 million.","He played in four FIFA World Cups, including the 1986 World Cup in Mexico, where he captained Argentina, led them to victory over West Germany in the final, and won the Golden Ball as the tournament's best player.",This football player was ranked as the third-best all-time football player by FourFourTow magazine.,2,1,4,3,5
What CEO gained attention for proposing the idea of a high-speed transportation system called the Hyperloop?,Elon Musk,https://en.wikipedia.org/wiki/Elon_Musk,He is associated with twitter.,Space X was his brainchild,Tesla cars revolutionized the auto industry now other cars are copying it. He is the owner of tesla.,Ron Desantis launched his presidential canpaign on his show,The name change from Twitter to X was this man's idea.,5,4,3,2,1
Identify the Emmy Award-winning actor who played the role of Hal in the sitcom 'Malcolm in the Middle'.,Bryan Cranston,https://en.wikipedia.org/wiki/Bryan_Cranston,"He is an American actor, producer, and director.",He is mainly known for portraying Walter White in the AMC crime drama series Breaking Bad.,"He was born in Hollywood, Los Angeles","He was born on March 7, 1956.",He earned a Tony Award for Best Actor in a Play for his portrayal of President Lyndon B. Johnson in the Broadway play All the Way (2014).,1,2,3,4,5
What is the most common reason people go to the doctor in first world countries?,Pain,https://en.wikipedia.org/wiki/Pain,It is not usually a disease but may be a symptom of a disease.,It is a sensation in the body or in a part of the body.,It can severely affect the normal functioning and life of a person.,It is usually treatable with medication or other methods.,It may go away on its own or decrease in intensity.,1,2,3,4,5
"Identify the media franchise that includes movies, TV series, books, comics, and video games set in a galaxy far, far away.",Star Wars,https://en.wikipedia.org/wiki/Star_Wars,"This media franchise is an American epic space opera created by George Lucas, which began with the 1977 film and quickly became a worldwide pop culture phenomenon.",This media franchise is one of the highest-grossing media franchises of all time.,"The original 1977 film, retroactively subtitled Episode IV: A New Hope, was followed by the sequels Episode V: The Empire Strikes Back (1980) and Episode VI: Return of the Jedi (1983).","The franchise is set against a backdrop of galactic conflict involving republics and empires, such as the evil Galactic Empire.","In 2008, Lucasfilm released the animated film The Clone Wars, which is set during the prequel trilogy and serves as the theatrical pilot of the television series of the same name.",2,5,1,3,4
Which city has the largest Greek-speaking population outside of Europe?,Melbourne,https://en.wikipedia.org/wiki/Melbourne,This is the capital of the Australian state of Victoria.,After Sydney this is the second most populous city in Australia.,This city has a metropolis that takes up much of the northern and eastern coastline of Port Phillip Bay.,The Yarra River flows through the heart of this city.,"This city has a Victorian Heritage that include the World Heritage Listed Royal Exhibition Building, Hotel Windsor and St James Old Cathedral.",1,2,3,4,5
Identify the console that introduced the innovative Joy-Con controllers with motion-sensing and haptic feedback features.,Nintendo Switch,https://en.wikipedia.org/wiki/Nintendo_Switch,"It is a video game console developed by Nintendo and released worldwide in most regions on March 3, 2017.","The console itself is a tablet that can either be docked for home console use or used as a portable device, making it a hybrid consol",They can also connect to a grip accessory to provide a traditional home console gamepad form,"It supports online gaming through Internet connectivity, as well as local wireless ad hoc connectivity with other consoles","It was unveiled on October 20, 2016",1,2,3,4,5
"Name the political figure who received numerous honors, including the Bharat Ratna, the Presidential Medal of Freedom, and the Lenin Peace Prize.",Nelson Mandela,https://en.wikipedia.org/wiki/Nelson_Mandela,This political figure was awarded the Nobel Peace Prize in 1993.,He was the first black president of South Africa.,He was imprisoned for 27 years for his anti-apartheid activism.,"He is also known by his Thembu clan name, Madiba.",He is considered to be one of the most important figures in the fight for racial equality and democracy.,1,2,3,4,5
What operating system is based on a modified version of the Linux kernel and is designed primarily for touchscreen devices?,Android,https://en.wikipedia.org/wiki/Android_(operating_system),This operating system was unveiled in November 2007 and is primarily developed by Google.,This operating system is free and open-source software (FOSS) primarily licensed under the Apache License.,"While this operating system is free, the name and logo are trademarks of Google,",Over 70 percent of smartphones are based on this operating system.,"This operating system was founded in Palo Alto, California by Andy Rubin, Rich Miner, Nick Sears, and Chris White.",1,2,3,4,5
Name the artist whose work is categorized into periods such as the Blue Period and Rose Period.,Pablo Picasso,https://en.wikipedia.org/wiki/Pablo_Picasso,"Born in Spain on 25th October, 1881, he remains one of the most famous 20th century painters.",He was the co founder of cubism.,He painted Guernica.,He had a sister Conchita who tragically died at seven.,He was the most prolific artist of his time producing more than 16000 paintings and drawings.,1,2,3,4,5
Which professional tennis player was born in 1981 and is often regarded as one of the greatest female players of all time?,Serena Williams,https://en.wikipedia.org/wiki/Serena_Williams,She is an American former player.,she was ranked world No. 1 in singles by the Women's Tennis Association (WTA),"She won 23 Grand Slam women's singles titles, the most in the Open Era, and the second-most of all time.","she was dominant, winning all four major singles titles.",she also won 14 major women's doubles titles,1,2,3,4,5
"What character's introduction in 'Breaking Bad' brought a mix of humor and intrigue, earning him a dedicated fan following and leading to a prequel series?",Saul Goodman,https://en.wikipedia.org/wiki/Saul_Goodman,"James Morgan ""Jimmy"" McGill, better known by his business name.",It s a fictional character created by Vince Gilligan and Peter Gould and portrayed by Bob Odenkirk.,He is a self-centered and unscrupulous Albuquerque-based lawyer who embraces his tactics as a former con artist and becomes involved in the city's criminal underworld.,followed by him Gilligan and Gould began developing a focused spin-off depicting his origin story.,He was nominated for the Primetime Emmy Award for Outstanding Lead Actor in a Drama Series six times for his performance.,1,2,3,4,5
In What U.S. state does the TV show Breaking Bad take place?,New Mexico,https://en.wikipedia.org/wiki/New_Mexico,It is a state in the Southwestern United States,Its largest city is Albuquerque.,Its state capital is Santa Fe,founded in 1610 as the government seat of Nuevo  in New Spain.,"It is one of the Mountain States of the southern Rocky Mountains, sharing the Four Corners region of the western U.S. with Utah, Colorado, and Arizona, and bordering Texas to the east and southeast, Oklahoma to the northeast, and the Mexican states of Chihuahua and Sonora to the south.",1,2,3,4,5
"What Austrian city, located in the western part of the country, is the capital of the federal state of Tyrol?",Innsbruck,https://en.wikipedia.org/wiki/Innsbruck,The fifth-largest city in Austria.,"The city's arms show a bird's-eye view of the Inn bridge, a design used since 1267.","The name means ""bridge over the Inn""","It was part of the Via Imperii, a medieval imperial road under special protection of the king.",Became the capital of all Tyrol in 1429 and in the 15th century the city became a centre of European politics and culture as Emperor Maximilian I also resided in it in the 1490s.,1,2,3,4,5
"What movie is directed by Andy Muschietti and features a screenplay by Chase Palmer, Cary Fukunaga, and Gary Dauberman?",It,https://en.wikipedia.org/wiki/It_(2017_film),This film is a 2 part adaptation of a novel written by Stephen King that chronologically depicts the first half of the book.,One of this horror films' main characters is a supernatural clown named 'Pennywise'.,A famous scene in this movie depicts a boy named Georgie and a paper sailboat.,"This film is set in Derry, Maine.","A few characters names in this film include Beverly Marsh, Richie Tozier, Eddie Kaspbrak, and Stan Uris.",5,1,2,3,4
Who was the master of cosmic horror known for his emphasis on the insignificance of humanity in the cosmos?,H. P. Lovecraft,https://en.wikipedia.org/wiki/H._P._Lovecraft,He co-wrote a short story about Egypt with Harry Houdini.,At the Mountains of Madness influenced the movie Alien.,had a love-hate relationship with New York.,He continues to influence popular culture.,He gained an audience through pulp fiction zines,1,2,3,4,5
"Identify the character whose catchphrase 'Yeah, science!' became popular among fans of 'Breaking Bad'.",Jesse Pinkman,https://en.wikipedia.org/wiki/Jesse_Pinkman,"He s a fictional character in the American crime drama television series Breaking Bad, played by Aaron .","He is a crystal meth cook and dealer who works with his former high school chemistry teacher, Walter White.",His performance convinced the showrunner and head writer Vince Gilligan to keep him in the show,"In 2010, 2012, and 2014, He won the Primetime Emmy Award for Outstanding Supporting Actor in a Drama Series","In 2012, he was nominated for the Critics' Choice Television Award for Best Supporting Actor in a Drama Series for the fourth season",1,2,3,4,5
Which town is Sicily's primary industrial and commercial center?,Palermo,https://en.wikipedia.org/wiki/Palermo,This city is the capital of Sicily.,The patron saint of this city is Saint Rosalia.,This city is surrounded by a mountain range named after the city itself that face the Tyrrhenian Sea.,Mount Pellegrino is visible from everywhere in this city.,This city hosts the biggest opera house in Italy.,1,5,4,2,3
Who is the anthropomorphic frog character that became an internet meme and symbol?,Pepe the Frog,https://en.wikipedia.org/wiki/Pepe_the_Frog,This cartoon character was created by cartoonist Matt Furie.,"From 2015 to 2016, this character was used as a symbol of the alt-right movement.","In 2019, this character was used by protesters in the 2019–2020 Hong Kong protests.","This character was used in blog posts on Myspace in 2005 and became an in-joke on Gaia Online. In 2008, the page containing this character and the catchphrase was scanned and uploaded to 4chan's /b/ board, which has been described as the meme's ""permanent home"".","In a further iteration, this character has seen usage among cryptocurrency enthusiasts as a meme on Twitter and elsewhere. Among other icons, it was featured on a Fortune magazine cover dedicated to a special report about cryptocurrency.",1,3,5,2,4
"What is the term for a humorous image, video, or piece of text that is copied with slight variations and spread rapidly online?",Meme,https://en.wikipedia.org/wiki/Meme,"This is a unit for carrying cultural ideas, symbols, or practices, and can be passed from one person to another with writing, speech, gestures and rituals.","This typically is an image, that is remixed, copied, and circulated online with various phrases.",This arose in the 1990s with a field of study regarding it and received criticism on various fronts.,"The word itself is a neologism coined by Richard Dawkins, originating from his 1976 book.",The Ancient Greek word for this has the meaning of an 'imitated thing'.,1,2,3,4,5
Name the Wookiee warrior who played a key role in the Rebel Alliance's fight against the Galactic Empire.,Chewbacca,https://en.wikipedia.org/wiki/Chewbacca,he is hans solos partner/best friend,he is a really tall character,he is usually fighting alongside hans in the many battles,he is a hairy character,he has been seen in the franchise from the beginning,1,3,4,2,5
Name the character who goes by the alias 'Ben Kenobi' while in hiding on Tatooine.,Obi-Wan Kenobi,https://en.wikipedia.org/wiki/Obi-Wan_Kenobi,He is an iconic character with a Japanese sounding name in the Star Wars series.,He lived as a hermit on the planet Tatooine.,He is a famous Jedi Master.,He is known for using The Force.,This character was portrayed first by Alec mcguiness and laterbby Ewan McGregor.,1,2,3,4,5
In which city is the United Nations Headquarters situated?,New York City,https://en.wikipedia.org/wiki/New_York_City,This very large city is extremely populated.,There is a very famous and uniquely named zoo associated with this city and a local baseball team's neighborhood.,"Amongst it's many skyscrapers, this large city has a skyscraper whose name is affiliated with ""Star Wars Episode 5"".",One of the many bridges of this city is named after the Brooklynn neighborhood.,President Donald John Trump has many buildings here in this city that are not in Florida.,1,2,5,4,3
"Name the language that is often used for automation, scripting, and building scalable web applications, with frameworks like Flask and Django being popular choices.",Python (programming language),https://en.wikipedia.org/wiki/Python_(programming_language),This programming language was created in 1991 by Guido van Rossum.,Guido van Rossum started to work on this programming language in the late 1980s.,"The 2.0 version of this programming language was released on October 16 in 2000, with many major new features such as list comprehensions, cycle-detecting garbage collection, reference counting, and Unicode support.","In 2021 (and again twice in 2022), security updates were expedited since all versions of this programming language were insecure (including 2.7) because of security issues leading to possible remote code execution and web-cache poisoning.","It's a multi-paradigm programming language. Object-oriented programming and structured programming are fully supported, and many of their features support functional programming and aspect-oriented programming (including metaprogramming and metaobjects). Many other paradigms are supported via extensions, including design by contract and logic programming.",1,2,4,5,3
"Identify the company responsible for the 'Uncharted' series, known for its globe-trotting adventures and treasure hunting.",Naughty Dog,https://en.wikipedia.org/wiki/Naughty_Dog,"It is an American first-party video game developer based in Santa Monica, California.",Developed three Crash Bandicoot games over the next several years.,"Won the Studio of the Year award at the 2013 VGX, the 2013 Golden Joystick Awards, and the 2020 Golden Joystick Awards.","Created and developed Rings of Power, which was published by Electronic Arts for the Sega Genesis in 1991.","In 2012 and 2013, teamed with Mass Media Inc to release the Jak and Daxter Collection.",1,2,3,4,5
"Identify the programming language that has a mascot named 'Guido van Rossum' in honor of its creator, who is also known as the 'Benevolent Dictator For Life' (BDFL).",Python (programming language),https://en.wikipedia.org/wiki/Python_(programming_language),"This is defined as a high-level, general-purpose programming language.","It is often described as a ""batteries included"" language due to its comprehensive standard library.",This Programming language was first released it in 1991 and  2.0 was released in 2000.,Guido van Rossum began working on this programming language in the late 1980s.,This programming language version 3.0 was released in 2008 and was a major revision not completely backward-compatible with earlier versions.,1,2,3,4,5
Which Egyptian god is typically depicted with a sun disk on his head and a serpent around his body?,Ra,https://en.wikipedia.org/wiki/Ra,This god was the ancient Egyptian deity of the Sun.,This god was portrayed as a falcon and shared characteristics with the sky god Horus.,"According to Egyptian myth, when this god became too old and weary to reign on Earth, he relinquished and went to the skies.","At an early period in Egyptian history, the influence of this god spread throughout the whole country, bringing multiple representations in form and in name. The most common form combinations are with Atum (his human form), Khepri (the scarab beetle), and Horus (the falcon).","This god was thought to travel on the Atet, two solar barques called the Mandjet (the Boat of Millions of Years) or morning boat, and the Mesektet or evening boat.",1,2,4,3,5
